scene_title,title,prompt_en,prompt_zh,duration_sec,difficulty,description,knowledge_points,ink_script_key
四级·校园生活,选课与课程,Talk about course selection and academic planning.,谈论选课和学业规划。,50,L2,四级常考：讨论课程选择、选课依据和学业规划。,CET4 选课 课程 规划,practice_exam-cet-4_四级_校园生活_选课与课程
四级·校园生活,社团与活动,Describe campus clubs and extracurricular experiences.,描述校园社团和课外活动经历。,45,L2,四级常考：介绍社团活动、团队合作和个人收获。,CET4 社团 活动 团队,practice_exam-cet-4_四级_校园生活_社团与活动
四级·校园生活,宿舍与校园环境,Talk about dormitory life and campus environment.,谈论宿舍生活和校园环境。,40,L2,四级常考：讨论住宿生活、校园设施和改善建议。,CET4 宿舍 校园 环境,practice_exam-cet-4_四级_校园生活_宿舍与校园环境
四级·社会热点,环境保护,Discuss environmental protection and individual responsibility.,讨论环境保护和个人责任。,50,L2,四级常考：讨论环保措施、个人行动和政府角色。,CET4 环保 绿色 责任,practice_exam-cet-4_四级_社会热点_环境保护
四级·社会热点,科技与生活,Talk about how technology affects our daily lives.,谈论科技如何影响我们的日常生活。,50,L2,四级常考：讨论科技利弊、智能手机和现代生活。,CET4 科技 生活 利弊,practice_exam-cet-4_四级_社会热点_科技与生活
四级·社会热点,网络购物,Discuss the advantages and disadvantages of online shopping.,讨论网购的利弊。,45,L2,四级常考：讨论网购的便利、风险和消费建议。,CET4 网购 消费 风险,practice_exam-cet-4_四级_社会热点_网络购物
四级·文化教育,传统文化,Talk about traditional culture and its importance.,谈论传统文化及其重要性。,50,L2~L3,四级常考：讨论传统文化价值、保护和传承。,CET4 传统文化 传承,practice_exam-cet-4_四级_文化教育_传统文化
四级·文化教育,阅读与学习,Discuss the importance of reading and learning habits.,讨论阅读和学习习惯的重要性。,45,L2,四级常考：讨论阅读的好处和学习习惯培养。,CET4 阅读 学习 习惯,practice_exam-cet-4_四级_文化教育_阅读与学习
四级·文化教育,教育方式,Talk about different approaches to education.,谈论不同的教育方式。,50,L2~L3,四级常考：讨论传统教育、素质教育和家庭教育方式。,CET4 教育 方式 素质教育,practice_exam-cet-4_四级_文化教育_教育方式
四级·科技环境,人工智能,Discuss the impact of artificial intelligence on society.,讨论人工智能对社会的影响。,50,L2~L3,四级常考：讨论AI的应用、挑战和未来影响。,CET4 人工智能 AI 科技,practice_exam-cet-4_四级_科技环境_人工智能
四级·科技环境,社交媒体,Talk about social media and its effects on students.,谈论社交媒体及其对学生的影响。,45,L2,四级常考：讨论社交媒体的利弊和使用习惯。,CET4 社交媒体 网络 影响,practice_exam-cet-4_四级_科技环境_社交媒体
四级·科技环境,可持续生活,Discuss sustainable living and environmental awareness.,讨论可持续生活和环保意识。,45,L2~L3,四级常考：讨论绿色生活、节约资源和环保行动。,CET4 可持续 绿色 环保,practice_exam-cet-4_四级_科技环境_可持续生活
四级·个人发展,职业规划,Talk about career planning and preparation for the future.,谈论职业规划和未来准备。,50,L2,四级常考：讨论职业目标、实习经历和能力准备。,CET4 职业 规划 实习,practice_exam-cet-4_四级_个人发展_职业规划
四级·个人发展,健康生活,Discuss healthy lifestyle habits for college students.,讨论大学生的健康生活习惯。,45,L2,四级常考：讨论运动、饮食、作息等健康话题。,CET4 健康 运动 饮食,practice_exam-cet-4_四级_个人发展_健康生活
四级·个人发展,时间管理,Talk about time management and study efficiency.,谈论时间管理和学习效率。,45,L2,四级常考：讨论时间安排、优先级和避免拖延。,CET4 时间管理 效率 计划,practice_exam-cet-4_四级_个人发展_时间管理
四级·人际关系,团队合作,Discuss the importance of teamwork in college.,讨论大学中团队合作的重要性。,45,L2,四级常考：讨论团队合作的经验价值和沟通技巧。,CET4 团队 合作 沟通,practice_exam-cet-4_四级_人际关系_团队合作
四级·人际关系,沟通交流,Talk about communication skills and building relationships.,谈论沟通技巧和建立人际关系。,45,L2,四级常考：讨论沟通重要性、倾听和理解他人。,CET4 沟通 倾听 关系,practice_exam-cet-4_四级_人际关系_沟通交流
四级·人际关系,志愿服务,Discuss volunteering and community service experiences.,讨论志愿服务和社区服务经历。,50,L2~L3,四级常考：讨论志愿活动经历、意义和社会价值。,CET4 志愿 服务 奉献,practice_exam-cet-4_四级_人际关系_志愿服务
