scene_title,category,text,meaning,difficulty,description,examples_json
通用,日常表达,"I'm not sure how to say this, but...",我不确定怎么说，但是...,L2,,,
通用,日常表达,"Could you repeat that, please?",能重复一遍吗？,L1,,,
通用,日常表达,I was wondering if...,我在想是否...,L2,礼貌提出请求的万能开头。,,
通用,日常表达,I'm afraid I...,恐怕我...,L2,,,
通用,日常表达,It depends on...,这取决于...,L2,,,
通用,日常表达,To be honest...,说实话...,L2,,,
通用,日常表达,As far as I know...,据我所知...,L3,,,
通用,日常表达,Would you mind...?,你介意...吗？,L2,礼貌询问的常用形式。,,
通用,日常表达,I really appreciate it.,非常感谢。,L1,,,
通用,日常表达,Could you give me a hand?,能帮个忙吗？,L1,,,
通用,衔接过渡,First of all...,首先...,L2,,,
通用,衔接过渡,On the other hand...,另一方面...,L3,,,
通用,衔接过渡,In addition...,除此之外...,L2,,,
通用,衔接过渡,For example...,例如...,L1,,,
