scene_title,topic_title,category,text,meaning,difficulty,description,examples_json
宿舍入住,办理入住,办理入住,办理入住,办理入住,宿舍入住,I'm here to check in.,我是来办理入住的。,L2,入住登记标准用语。,"[{""en"":""Hi, I'm here to check in. My booking is under Li."",""zh"":""你好，我来办理入住，预订姓名是李。"",""level"":""basic""}]",
宿舍入住,办理入住,办理入住,办理入住,办理入住,宿舍入住,My booking is under the name...,我的预订名字是...,L2,说明预订人姓名，前台核对预订信息时使用。,
宿舍入住,办理入住,办理入住,办理入住,办理入住,宿舍入住,Here is my student ID.,这是我的学生证。,L2,出示学生证作为身份证明。可以加上宿舍入住确认函一起。,
宿舍入住,办理入住,办理入住,办理入住,办理入住,宿舍入住,Could you tell me where my room is?,能告诉我房间在哪吗？,L2,用 could you 开头更加礼貌客气，前台会告诉你房间号和楼层。,
宿舍入住,询问设施,询问设施,询问设施,询问设施,宿舍入住,Is there Wi-Fi in the building?,楼里有Wi-Fi吗？,L2,询问宿舍有无 Wi-Fi 及连接方式。英美宿舍 Wi-Fi 通常需用学生账号登录。,
宿舍入住,询问设施,询问设施,询问设施,询问设施,宿舍入住,Where is the laundry room?,洗衣房在哪？,L2,询问公共洗衣房位置。英美宿舍洗衣房通常需要充值和提前预约。,
宿舍入住,,,,,宿舍入住,Thank you for your help.,谢谢你的帮助。,L1,一句通用的感谢语，任何服务场景都能用。,"[{""en"":""Thanks so much for your help!"" ,""zh"":""非常感谢你的帮助！"",""level"":""basic""}]",
宿舍入住,描述宿舍问题,描述宿舍问题,描述宿舍问题,描述宿舍问题,宿舍入住,I need to report a maintenance issue.,我需要报修一个问题。,L2,报修通用句。如果问题紧急可以说 ""urgent""。,
宿舍入住,,,,,宿舍入住,What time is check out?,退房时间是什么时候？,L1,"询问退房时间。一般宿舍退房是上午 10 点或 11 点，问清楚避免超时罚款。",
宿舍入住,询问设施,询问设施,询问设施,询问设施,宿舍入住,Is there a shared kitchen?,有共享厨房吗？,L2,询问有无公共厨房。英国宿舍厨房一般是公用的，注意卫生和轮值。,
宿舍入住,办理入住,办理入住,办理入住,办理入住,宿舍入住,I'm looking for my room.,我在找我的房间。,L1,"刚入住不熟悉环境，找房间时可用。可以在句末加上 room number 更具体。",
宿舍入住,申请换房间,申请换房间,申请换房间,申请换房间,宿舍入住,Can I get an extra key?,能多给我一把钥匙吗？,L2,需要额外钥匙时使用。有些宿舍会收押金（deposit）。,
宿舍入住,询问设施,询问设施,询问设施,询问设施,宿舍入住,How do I get to the campus from here?,从这里怎么去校园？,L1,询问从宿舍到学校的路线。前台通常会给你地图或推荐公交线路。,
宿舍入住,询问设施,询问设施,询问设施,询问设施,宿舍入住,Can I have a tour of the building?,能参观一下大楼吗？,L2,刚到宿舍时可以问前台是否能带你看一下公共设施。,"[{""en"":""Could I have a quick tour of the building?"",""zh"":""能简单带我参观一下大楼吗？"",""level"":""basic""}]",
宿舍入住,,,,,宿舍入住,I'm still getting used to everything.,我还在适应一切。,L2,刚到一个新环境时的常用表达。,"[{""en"":""Everything is new to me, but I'm enjoying it!"" ,""zh"":""一切都还新鲜，不过我很享受！"",""level"":""natural""}]",
机场入境,说明来访目的,说明来访目的,说明来访目的,说明来访目的,机场入境,I'm here to study.,我是来读书的。,L2,学生签证入境的标答。入境官可能会继续问你哪个学校、什么专业。,
机场入境,说明来访目的,说明来访目的,说明来访目的,说明来访目的,机场入境,I will be staying for...,我会待...,L2,说明停留时间，学生签证通常说 I'll be staying for two years 或 for my degree program。,
